source,blueprint_id,blueprint_name,room,suggested_topology_id,confidence,topology_id,action,display_name,notes
BLUEPRINT,dg_hq,Generator HQ,DG-HQ Container,node-dg-hq,HIGH,node-dg-hq,MATCH,,
BLUEPRINT,site_fuel_record,Site Fuel Record,Fuel Reservoir,,NONE,,,,"No topology node found - likely telemetry-only (sensor, record, workstation)."
TOPOLOGY,,,Server Room,node-ac-server-db,NONE,node-ac-server-db,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Power Room 2,node-ac-ups-db-a,NONE,node-ac-ups-db-a,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Power Room 1,node-ac-ups-db-b,NONE,node-ac-ups-db-b,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Power Room 2,node-aircon-db-a,NONE,node-aircon-db-a,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Power Room 1,node-aircon-db-b,NONE,node-aircon-db-b,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Power Room 2,node-dc-rect-db-a,NONE,node-dc-rect-db-a,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Power Room 1,node-dc-rect-db-b,NONE,node-dc-rect-db-b,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Server Room,node-dc-server-db,NONE,node-dc-server-db,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Genset Yard,node-dg-bus,NONE,node-dg-bus,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Power Room 1,node-main-main-db,NONE,node-main-main-db,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Power Room 1,node-maindb-1,NONE,node-maindb-1,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Power Room 2,node-maindb-2,NONE,node-maindb-2,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Power Room 1,node-pr1-ac-3,NONE,node-pr1-ac-3,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Power Room 1,node-tco-1,NONE,node-tco-1,,,Power infrastructure with no telemetry - normal for boards and busbars.
TOPOLOGY,,,Power Room 2,node-tco-2,NONE,node-tco-2,,,Power infrastructure with no telemetry - normal for boards and busbars.
